Time Axis,Step Response
0,0
3.90625E-10,0
7.8125E-10,0
1.171875E-09,0
1.5625E-09,3.33000955330818E-05
1.953125E-09,0.000196671990324626
2.34375E-09,0.000639672320370816
2.734375E-09,0.00154759787710965
3.125E-09,0.00312606735721077
3.515625E-09,0.00558863684535252
3.90625E-09,0.00914730043474158
4.296875E-09,0.0140054234277599
4.6875E-09,0.0203526528931009
5.078125E-09,0.0283614111250285
5.46875E-09,0.0381846437489263
5.859375E-09,0.0499545529735345
6.25E-09,0.0637820960469069
6.640625E-09,0.0797570701317741
7.03125E-09,0.0979486388153589
7.421875E-09,0.118406183483052
7.8125E-09,0.141160385827245
8.203125E-09,0.166224466682534
8.59375E-09,0.193595521885398
8.984375E-09,0.223255908539557
9.375E-09,0.25517464541711
9.765625E-09,0.289308799646459
1.015625E-08,0.325604838668138
1.0546875E-08,0.363999931958703
1.09375E-08,0.404423191462514
1.1328125E-08,0.446796843223903
1.171875E-08,0.491037325536811
1.2109375E-08,0.537056311157393
1.25E-08,0.5847616528662
1.2890625E-08,0.634058253010426
1.328125E-08,0.684848858677768
1.3671875E-08,0.737034784912971
1.40625E-08,0.790516568936765
1.4453125E-08,0.84519455870613
1.484375E-08,0.900969439398942
1.5234375E-08,0.957742701543031
1.5625E-08,1.01541705456248
1.6015625E-08,1.07389678950139
1.640625E-08,1.13308809462262
1.6796875E-08,1.19289932747834
1.71875E-08,1.25324124692127
1.7578125E-08,1.3140272083774
1.796875E-08,1.37517332553995
1.8359375E-08,1.43659860147568
1.875E-08,1.49822503196112
1.9140625E-08,1.55997768369341
1.953125E-08,1.62178474984777
1.9921875E-08,1.68357758528604
2.03125E-08,1.74529072355717
2.0703125E-08,1.80686187767344
2.109375E-08,1.86823192649596
2.1484375E-08,1.92934488841983
2.1875E-08,1.99014788391374
2.2265625E-08,2.0505910883408
2.265625E-08,2.11062767636712
2.3046875E-08,2.17021375915156
2.34375E-08,2.2293083154049
2.3828125E-08,2.28787311730773
2.421875E-08,2.3458726521852
2.4609375E-08,2.40327404075135
2.5E-08,2.46004695265697
2.5390625E-08,2.51616352000183
2.578125E-08,2.57159824940502
2.6171875E-08,2.62632793316438
2.65625E-08,2.68033155997941
2.6953125E-08,2.73359022565891
2.734375E-08,2.78608704418664
2.7734375E-08,2.83780705947385
2.8125E-08,2.88873715808703
2.8515625E-08,2.93886598320254
2.890625E-08,2.98818385000548
2.9296875E-08,3.03668266272002
2.96875E-08,3.08435583343013
3.0078125E-08,3.13119820282439
3.046875E-08,3.17720596297568
3.0859375E-08,3.22237658224574
3.125E-08,3.2667087323859
3.1640625E-08,3.31020221788844
3.203125E-08,3.35285790762794
3.2421875E-08,3.39467766881847
3.28125E-08,3.43566430330036
3.3203125E-08,3.47582148615957
3.359375E-08,3.51515370667313
3.3984375E-08,3.55366621156579
3.4375E-08,3.59136495055562
3.4765625E-08,3.62825652415973
3.515625E-08,3.66434813372584
3.5546875E-08,3.69964753365051
3.59375E-08,3.73416298574078
3.6328125E-08,3.76790321567234
3.671875E-08,3.80087737149461
3.7109375E-08,3.83309498413062
3.75E-08,3.86456592981762
3.7890625E-08,3.89530039443292
3.828125E-08,3.92530883964843
3.8671875E-08,3.95460197085628
3.90625E-08,3.98319070680784
3.9453125E-08,4.0110861509079
3.984375E-08,4.03829956410609
4.0234375E-08,4.06484233932765
4.0625E-08,4.09072597738628
4.1015625E-08,4.11596206432232
4.140625E-08,4.14056225011027
4.1796875E-08,4.16453822868051
4.21875E-08,4.18790171920128
4.2578125E-08,4.21066444856767
4.296875E-08,4.23283813504585
4.3359375E-08,4.25443447302197
4.375E-08,4.27546511880613
4.4140625E-08,4.29594167744361
4.453125E-08,4.31587569048644
4.4921875E-08,4.3352786246801
4.53125E-08,4.35416186152124
4.5703125E-08,4.37253668764406
4.609375E-08,4.39041428599398
4.6484375E-08,4.40780572774899
4.6875E-08,4.42472196495021
4.7265625E-08,4.44117382380465
4.765625E-08,4.45717199862466
4.8046875E-08,4.4727270463696
4.84375E-08,4.48784938175692
4.8828125E-08,4.50254927291081
4.921875E-08,4.51683683751828
4.9609375E-08,4.53072203946317
5E-08,4.54421468591052
5.0390625E-08,4.55732442481429
5.078125E-08,4.57006074282294
5.1171875E-08,4.58243296355843
5.15625E-08,4.59445024624523
5.1953125E-08,4.60612158466703
5.234375E-08,4.61745580642982
5.2734375E-08,4.6284615725112
5.3125E-08,4.63914737707637
5.3515625E-08,4.64952154754257
5.390625E-08,4.65959224487439
5.4296875E-08,4.66936746409331
5.46875E-08,4.67885503498566
5.5078125E-08,4.68806262299402
5.546875E-08,4.69699773027776
5.5859375E-08,4.70566769692926
5.625E-08,4.71407970233307
5.6640625E-08,4.72224076665583
5.703125E-08,4.73015775245546
5.7421875E-08,4.73783736639899
5.78125E-08,4.74528616107859
5.8203125E-08,4.75251053691631
5.859375E-08,4.75951674414831
5.8984375E-08,4.76631088488018
5.9375E-08,4.7728989152051
5.9765625E-08,4.77928664737737
6.015625E-08,4.78547975203417
6.0546875E-08,4.79148376045882
6.09375E-08,4.79730406687932
6.1328125E-08,4.80294593079622
6.171875E-08,4.80841447933442
6.2109375E-08,4.81371470961368
6.25E-08,4.81885149113302
6.2890625E-08,4.82382956816469
6.328125E-08,4.82865356215332
6.3671875E-08,4.83332797411661
6.40625E-08,4.83785718704373
6.4453125E-08,4.84224546828834
6.484375E-08,4.84649697195291
6.5234375E-08,4.85061574126171
6.5625E-08,4.85460571091968
6.6015625E-08,4.85847070945487
6.640625E-08,4.86221446154221
