Frequency,Magnitude
6934737.00905067,3869.71075729909
7261561.09540207,3789.62096934351
7603787.92641127,3705.64005550592
7962143.41106999,3617.83808563966
8337387.66940676,3526.32133904869
8730316.64480337,3431.23365278283
9141763.79229756,3332.75711224239
9572601.84645282,3231.11201124948
10023744.6725455,3126.55603053688
10496149.2049955,3019.38260930996
10990817.4771526,2909.91851279842
11508798.7467432,2798.52062793391
12051191.7214872,2685.57204777309
12619146.8896039,2571.47753140701
13213868.960152,2456.65844844262
13836619.4183788,2341.54733462968
14488719.2014999,2226.58219714733
15171551.5005838,2112.20071418368
15886564.6944857,1998.83447383044
16635275.4220535,1886.90339236759
17419271.7991217,1776.81044233104
18240216.7871183,1668.93680706744
19099851.7204289,1563.63756156443
20000000.0000001,1461.23795999664
20942570.9610181,1362.03038943562
21929563.9228639,1266.27202731758
22963072.4299378,1174.18321832805
24045288.6923484,1085.94656512657
25178508.2358835,1001.70670755924
26365134.7711283,921.570747406479
27607685.2920579,845.609260906432
28908795.4149188,773.857829755202
30271224.9687244,706.319013299012
31697863.8492225,642.964680266643
33191738.1487515,583.738617485521
34756016.5749878,528.559335219341
36394017.1722,477.322993534707
38109214.3592652,429.906380821807
39905246.2993779,386.169883596338
41785922.6170811,345.960395361536
43755232.4789914,309.114121056419
45817353.0553558,275.459242023576
47976658.3803902,244.818414195731
50237728.630192,217.011079156576
52605359.8379081,191.855573823951
55084574.0667638,169.171029765247
57680630.0625326,148.779057672323
60399034.4080408,130.505216406025
63245553.2033681,114.18026937505
66226224.2965188,99.641233927613
69347370.0905069,86.7322319659056
72615610.9540209,75.3051521735411
76037879.2641129,65.2201360833667
79621434.1107002,56.3459017017872
83373876.6940679,48.5599195366083
87303166.448034,41.7484566425481
91417637.9229759,35.8065047054289
95726018.4645286,30.6376082476458
100237446.725455,26.1536087802223
104961492.049956,22.2743201863871
109908174.771526,18.9271498402323
115087987.467433,16.0466789869437
120511917.214873,13.5742147840692
126191468.89604,11.4573251704818
132138689.601521,9.64936643236185
138366194.183789,8.1090120113629
144887192.014999,6.79978978284073
151715515.005838,5.68963375124654
158865646.944858,4.75045489085711
166352754.220536,3.95773472390822
174192717.991218,3.29014419131324
182402167.871184,2.72918944523127
190998517.204289,2.25888538489537
200000000.000002,1.86545706994526
209425709.610182,1.53706857755283
219295639.228639,1.26357841583879
229630724.299379,1.03632025852069
240452886.923485,0.847907514327663
251785082.358836,0.692060078004424
263651347.711284,0.563451515578234
276076852.92058,0.457574902811442
289087954.149189,0.370625550714748
302712249.687245,0.299398904813325
316978638.492226,0.241201985810105
331917381.487516,0.193776839898385
347560165.749879,0.155234580054123
363940171.722001,0.123998719265118
381092143.592654,0.0987566180889291
399052462.993781,0.0784179884984351
417859226.170813,0.0620795109318349
437552324.789916,0.0489947298691494
458173530.55356,0.0385484938341268
479766583.803904,0.0302352977397493
502377286.301922,0.0236409686664791
526053598.379083,0.0184272105366653
550845740.66764,0.0143185890368983
576806300.625329,0.0110915960399035
603990344.080411,0.00856548331058834
632455532.033684,0.00659459914036525
662262242.965191,0.0050619994607715
693473700.905072,0.00387413765485479
726156109.540212,0.00295646539138782
760378792.641133,0.00224980097786765
796214341.107005,0.00170734252369993
833738766.940682,0.00129222111533293
873031664.480344,0.000975504651172905
914176379.229763,0.000734576321355158
957260184.64529,0.000551823242931166
1002374467.25456,0.000413580721704378
1049614920.49956,0.000309286213244531
1099081747.71526,0.000230804469625563
1150879874.67433,0.000171891731096386
1205119172.14873,0.000127772278908366
1261914688.9604,9.48053169817969E-05
1321386896.01521,7.02240938771533E-05
1383661941.83789,5.19325006660251E-05
1448871920.15,3.83471644616734E-05
1517155150.05839,2.82753738682948E-05
1588656469.44859,2.08210868982191E-05
1663527542.20537,1.53128429352185E-05
1741927179.91219,1.12486807675645E-05
1824021678.71185,8.25420121404595E-06
1909985172.0429,6.05074628678264E-06
2000000000.00003,4.43133260203666E-06
