time	V(n004)
Step Information: Ampl=6  (Run: 1/14)
2.499999990010493e-012	1.228185e-006
1.000000000000000e-009	1.228185e-006
1.000792000011093e-009	4.336683e-006
1.002376000033278e-009	1.185119e-005
1.003772742795022e-009	2.012231e-005
1.005097345207801e-009	2.995783e-005
1.007746550033360e-009	5.407403e-005
1.010546088393796e-009	8.591902e-005
1.014975838427202e-009	1.494262e-004
1.019973511076726e-009	2.401102e-004
1.027540247220021e-009	4.142889e-004
1.037019148343198e-009	6.928546e-004
1.052270856442874e-009	1.272150e-003
1.076113615120180e-009	2.464587e-003
1.123799132474791e-009	5.483754e-003
1.168830395815881e-009	8.937161e-003
1.249192992475782e-009	1.602766e-002
1.367340576602222e-009	2.716846e-002
1.539124233476566e-009	4.342947e-002
1.772132725953343e-009	6.441666e-002
2.000000000000000e-009	8.376098e-002
2.000570689217389e-009	8.380400e-002
2.001712067652167e-009	8.388881e-002
2.003994824521722e-009	8.405332e-002
2.008560338260832e-009	8.436435e-002
2.017691365739053e-009	8.492240e-002
2.035953420695495e-009	8.581905e-002
2.072477530608379e-009	8.693967e-002
2.145525750434147e-009	8.753041e-002
2.291622190085683e-009	8.605697e-002
2.463548770528005e-009	8.285575e-002
2.611133180206652e-009	7.990779e-002
2.804147419181261e-009	7.634173e-002
3.042185368889860e-009	7.234660e-002
3.518261268307057e-009	6.511157e-002
3.961763894303321e-009	5.906835e-002
4.544979614909058e-009	5.205530e-002
5.137673719313668e-009	4.586125e-002
6.004271122159076e-009	3.822487e-002
7.032443232531697e-009	3.095057e-002
8.693495546974966e-009	2.214894e-002
1.064662054697497e-008	1.482131e-002
1.259974554697497e-008	9.921668e-003
1.455287054697497e-008	6.700972e-003
1.650599554697496e-008	4.573051e-003
1.845912054697497e-008	3.159988e-003
2.041224554697497e-008	2.216772e-003
2.236537054697497e-008	1.582995e-003
2.431849554697497e-008	1.153666e-003
2.627162054697497e-008	8.597987e-004
2.822474554697497e-008	6.561938e-004
3.017787054697497e-008	5.129554e-004
3.213099554697497e-008	4.104786e-004
3.408412054697498e-008	3.357843e-004
3.603724554697498e-008	2.802891e-004
3.799037054697498e-008	2.382391e-004
3.994349554697498e-008	2.057643e-004
4.189662054697498e-008	1.802180e-004
4.384974554697498e-008	1.597735e-004
4.580287054697498e-008	1.431498e-004
4.775599554697498e-008	1.294337e-004
4.970912054697498e-008	1.179681e-004
5.166224554697499e-008	1.082670e-004
5.361537054697499e-008	9.997292e-005
5.556849554697499e-008	9.281065e-005
5.752162054697499e-008	8.657443e-005
5.947474554697499e-008	8.109940e-005
6.142787054697498e-008	7.626107e-005
6.338099554697498e-008	7.195549e-005
6.533412054697497e-008	6.810400e-005
6.728724554697497e-008	6.463809e-005
6.924037054697496e-008	6.150618e-005
7.314662054697495e-008	5.606870e-005
7.705287054697494e-008	5.151596e-005
8.095912054697493e-008	4.765207e-005
8.486537054697492e-008	4.433424e-005
8.877162054697491e-008	4.145614e-005
9.463099554697489e-008	3.779181e-005
1.004903705469749e-007	3.474014e-005
1.063497455469749e-007	3.216029e-005
1.122091205469748e-007	2.995250e-005
1.180684955469748e-007	2.804194e-005
1.258809955469748e-007	2.586313e-005
1.336934955469748e-007	2.401773e-005
1.415059955469748e-007	2.243524e-005
1.493184955469747e-007	2.106360e-005
1.590841205469747e-007	1.958676e-005
1.688497455469747e-007	1.832137e-005
1.786153705469747e-007	1.722543e-005
1.883809955469746e-007	1.626711e-005
2.000997455469746e-007	1.526508e-005
2.118184955469746e-007	1.439459e-005
2.235372455469745e-007	1.363142e-005
2.352559955469745e-007	1.295694e-005
2.469747455469745e-007	1.235660e-005
2.606466205469745e-007	1.173462e-005
2.743184955469744e-007	1.118339e-005
2.879903705469744e-007	1.069152e-005
2.997091205469743e-007	1.031023e-005
3.114278705469743e-007	9.961169e-006
3.231466205469743e-007	9.640426e-006
3.348653705469743e-007	9.344689e-006
3.446309955469742e-007	9.115302e-006
3.543966205469742e-007	8.899908e-006
3.661153705469742e-007	8.658168e-006
3.817403705469741e-007	8.361206e-006
3.993184955469741e-007	8.057499e-006
4.208028705469740e-007	7.723792e-006
4.461934955469739e-007	7.374243e-006
4.754903705469739e-007	7.020831e-006
4.793966205469739e-007	6.977217e-006
5.165059955469748e-007	6.598029e-006
5.614278705469759e-007	6.210195e-006
6.161153705469772e-007	5.818487e-006
6.766622455469787e-007	5.462081e-006
7.430684955469803e-007	5.140561e-006
8.153341205469821e-007	4.852050e-006
8.954122455469840e-007	4.588041e-006
9.852559955469862e-007	4.343745e-006
1.065334120546988e-006	4.161035e-006
1.172755995546991e-006	3.955144e-006
1.291896620546994e-006	3.766525e-006
1.422755995546997e-006	3.595124e-006
1.569240370547000e-006	3.436231e-006
1.651271620547002e-006	3.359097e-006
1.821193495547007e-006	3.220378e-006
1.996974745547001e-006	3.100305e-006
1.998927870547001e-006	3.099081e-006
2.000000000000000e-006	3.097971e-006
Step Information: Ampl=7  (Run: 3/14)
0.000000000000000e+000	1.228185e-006
2.499999990010493e-012	1.228185e-006
1.000000000000000e-009	1.228185e-006
1.000792000010725e-009	4.575799e-006
1.002376000032175e-009	1.266849e-005
1.003773071369087e-009	2.157828e-005
1.005097823004639e-009	3.217231e-005
1.007747326275743e-009	5.814816e-005
1.010544839840576e-009	9.241810e-005
1.014969920062109e-009	1.607294e-004
1.019957211838047e-009	2.581492e-004
1.027501024534522e-009	4.450211e-004
1.036939439202731e-009	7.433996e-004
1.052128286105924e-009	1.364005e-003
1.075980264108496e-009	2.645487e-003
1.122727861960679e-009	5.818294e-003
1.166039713452577e-009	9.375148e-003
1.243612174459009e-009	1.670978e-002
1.358642351996916e-009	2.836525e-002
1.525737519448444e-009	4.542840e-002
1.752056557587628e-009	6.791756e-002
1.776730429769643e-009	7.026935e-002
1.826078174133672e-009	7.479658e-002
1.901304511271940e-009	8.152980e-002
2.000000000000000e-009	9.017204e-002
2.009869548872806e-009	9.085713e-002
2.029608646618418e-009	9.200256e-002
2.069086842109642e-009	9.344495e-002
2.148043233092090e-009	9.428176e-002
2.302629747168122e-009	9.288242e-002
2.445880715957777e-009	9.025197e-002
2.602328320062788e-009	8.701300e-002
2.769402507032744e-009	8.373525e-002
3.103550880972657e-009	7.771792e-002
3.579230618670740e-009	6.993926e-002
4.033294024115915e-009	6.330891e-002
4.608799703902435e-009	5.589418e-002
5.234579831730118e-009	4.892188e-002
6.170018491144324e-009	4.020519e-002
7.264476491517869e-009	3.209608e-002
8.922461880960811e-009	2.297067e-002
1.087558688096081e-008	1.539194e-002
1.282871188096081e-008	1.031941e-002
1.478183688096081e-008	6.980519e-003
1.673496188096081e-008	4.770556e-003
1.868808688096081e-008	3.463635e-003
2.064121188096081e-008	3.433314e-003
2.259433688096081e-008	4.903543e-003
2.454746188096082e-008	7.045576e-003
2.650058688096082e-008	8.901688e-003
2.845371188096082e-008	1.020467e-002
3.040683688096082e-008	1.099726e-002
3.235996188096082e-008	1.139246e-002
3.431308688096082e-008	1.150618e-002
3.626621188096082e-008	1.142773e-002
3.821933688096082e-008	1.122346e-002
4.017246188096082e-008	1.093771e-002
4.212558688096082e-008	1.060311e-002
4.407871188096082e-008	1.024100e-002
4.603183688096082e-008	9.866583e-003
4.798496188096083e-008	9.489631e-003
4.993808688096083e-008	9.117102e-003
5.189121188096083e-008	8.753285e-003
5.384433688096083e-008	8.401167e-003
5.579746188096083e-008	8.062402e-003
5.775058688096083e-008	7.738039e-003
5.970371188096083e-008	7.428457e-003
6.165683688096082e-008	7.133758e-003
6.360996188096082e-008	6.853709e-003
6.556308688096081e-008	6.587963e-003
6.751621188096080e-008	6.336016e-003
6.946933688096080e-008	6.097328e-003
7.142246188096079e-008	5.871290e-003
7.337558688096079e-008	5.657301e-003
7.532871188096078e-008	5.454736e-003
7.728183688096078e-008	5.262997e-003
7.923496188096077e-008	5.081487e-003
8.118808688096077e-008	4.909641e-003
8.314121188096076e-008	4.746911e-003
8.509433688096076e-008	4.592779e-003
8.704746188096075e-008	4.446749e-003
8.900058688096074e-008	4.308357e-003
9.095371188096074e-008	4.177160e-003
9.290683688096073e-008	4.052744e-003
9.485996188096073e-008	3.934717e-003
9.681308688096072e-008	3.822714e-003
9.876621188096072e-008	3.716387e-003
1.007193368809607e-007	3.615415e-003
1.026724618809607e-007	3.519492e-003
1.046255868809607e-007	3.428335e-003
1.065787118809607e-007	3.341676e-003
1.085318368809607e-007	3.259265e-003
1.104849618809607e-007	3.180865e-003
1.124380868809607e-007	3.106257e-003
1.143912118809607e-007	3.035234e-003
1.163443368809607e-007	2.967601e-003
1.182974618809607e-007	2.903176e-003
1.202505868809607e-007	2.841787e-003
1.222037118809607e-007	2.783274e-003
1.241568368809607e-007	2.727486e-003
1.261099618809606e-007	2.674279e-003
1.280630868809606e-007	2.623521e-003
1.300162118809606e-007	2.575086e-003
1.319693368809606e-007	2.528854e-003
1.339224618809606e-007	2.484714e-003
1.358755868809606e-007	2.442562e-003
1.378287118809606e-007	2.402297e-003
1.397818368809606e-007	2.363828e-003
1.417349618809606e-007	2.327064e-003
1.436880868809606e-007	2.291923e-003
1.456412118809606e-007	2.258327e-003
1.475943368809606e-007	2.226201e-003
1.495474618809606e-007	2.195475e-003
1.515005868809606e-007	2.166083e-003
1.534537118809606e-007	2.137961e-003
1.554068368809606e-007	2.111051e-003
1.573599618809606e-007	2.085296e-003
1.593130868809606e-007	2.060642e-003
1.612662118809605e-007	2.037041e-003
1.632193368809605e-007	2.014443e-003
1.651724618809605e-007	1.992802e-003
1.671255868809605e-007	1.972077e-003
1.690787118809605e-007	1.952227e-003
1.710318368809605e-007	1.933211e-003
1.729849618809605e-007	1.914994e-003
1.749380868809605e-007	1.897541e-003
1.768912118809605e-007	1.880818e-003
1.788443368809605e-007	1.864794e-003
1.807974618809605e-007	1.849438e-003
1.827505868809605e-007	1.834722e-003
1.847037118809605e-007	1.820619e-003
1.866568368809605e-007	1.807102e-003
1.886099618809605e-007	1.794147e-003
1.905630868809605e-007	1.781731e-003
1.925162118809605e-007	1.769830e-003
1.944693368809605e-007	1.758424e-003
1.964224618809604e-007	1.747491e-003
1.983755868809604e-007	1.737013e-003
2.003287118809604e-007	1.726971e-003
2.022818368809604e-007	1.717347e-003
2.042349618809604e-007	1.708124e-003
2.061880868809604e-007	1.699285e-003
2.081412118809604e-007	1.690816e-003
2.100943368809604e-007	1.682702e-003
2.120474618809604e-007	1.674927e-003
2.140005868809604e-007	1.667480e-003
2.159537118809604e-007	1.660346e-003
2.179068368809604e-007	1.653514e-003
2.198599618809604e-007	1.646971e-003
2.218130868809604e-007	1.640706e-003
2.237662118809604e-007	1.634709e-003
2.257193368809604e-007	1.628968e-003
2.276724618809604e-007	1.623474e-003
2.296255868809604e-007	1.618218e-003
2.315787118809603e-007	1.613189e-003
2.335318368809603e-007	1.608380e-003
2.354849618809603e-007	1.603781e-003
2.374380868809603e-007	1.599386e-003
2.393912118809604e-007	1.595185e-003
2.413443368809603e-007	1.591172e-003
2.432974618809603e-007	1.587339e-003
2.452505868809603e-007	1.583679e-003
2.472037118809603e-007	1.580187e-003
2.491568368809603e-007	1.576855e-003
2.511099618809603e-007	1.573677e-003
2.530630868809603e-007	1.570648e-003
2.550162118809603e-007	1.567762e-003
2.569693368809603e-007	1.565014e-003
2.589224618809603e-007	1.562399e-003
2.608755868809603e-007	1.559911e-003
2.628287118809603e-007	1.557545e-003
2.647818368809603e-007	1.555298e-003
2.667349618809603e-007	1.553164e-003
2.686880868809603e-007	1.551140e-003
2.706412118809603e-007	1.549221e-003
2.725943368809603e-007	1.547404e-003
2.745474618809603e-007	1.545685e-003
2.765005868809603e-007	1.544059e-003
2.784537118809602e-007	1.542524e-003
2.804068368809602e-007	1.541076e-003
2.823599618809602e-007	1.539712e-003
2.843130868809602e-007	1.538429e-003
2.862662118809602e-007	1.537224e-003
2.882193368809602e-007	1.536093e-003
2.901724618809602e-007	1.535035e-003
2.921255868809602e-007	1.534046e-003
2.940787118809602e-007	1.533124e-003
2.960318368809602e-007	1.532266e-003
2.979849618809602e-007	1.531471e-003
2.999380868809602e-007	1.530735e-003
3.018912118809602e-007	1.530057e-003
3.038443368809602e-007	1.529434e-003
3.057974618809602e-007	1.528864e-003
3.077505868809602e-007	1.528345e-003
3.097037118809602e-007	1.527876e-003
3.116568368809602e-007	1.527455e-003
3.136099618809601e-007	1.527080e-003
3.155630868809601e-007	1.526748e-003
3.175162118809601e-007	1.526459e-003
3.194693368809601e-007	1.526211e-003
3.214224618809601e-007	1.526002e-003
3.233755868809601e-007	1.525831e-003
3.253287118809601e-007	1.525697e-003
3.272818368809601e-007	1.525598e-003
3.292349618809601e-007	1.525532e-003
3.311880868809601e-007	1.525499e-003
3.331412118809601e-007	1.525498e-003
3.350943368809601e-007	1.525526e-003
3.370474618809601e-007	1.525584e-003
3.390005868809601e-007	1.525669e-003
3.409537118809601e-007	1.525781e-003
3.429068368809601e-007	1.525920e-003
3.448599618809601e-007	1.526083e-003
